Date,Solar,Grid IE,Pilot,Charge Power,Min Charge Power,State,Smoothed Available
08/07/2018 04:28:00,0,0,0,0,1440,254,0
08/07/2018 04:29:00,0,0,0,0,1440,254,0
08/07/2018 04:30:00,0,0,0,0,1440,254,0
08/07/2018 04:31:00,22,0,0,0,1440,254,20.9047
08/07/2018 04:32:00,23,0,0,0,1440,254,22.8957
08/07/2018 04:33:00,24,0,0,0,1440,254,23.945
08/07/2018 04:34:00,26,0,0,0,1440,254,25.8977
08/07/2018 04:35:00,26,0,0,0,1440,254,25.9949
08/07/2018 04:36:00,29,0,0,0,1440,254,28.8504
08/07/2018 04:37:00,29,0,0,0,1440,254,28.9926
08/07/2018 04:38:00,31,0,0,0,1440,254,30.9001
08/07/2018 04:39:00,34,0,0,0,1440,254,33.8457
08/07/2018 04:40:00,34,0,0,0,1440,254,33.9923
08/07/2018 04:41:00,36,0,0,0,1440,254,35.9
08/07/2018 04:42:00,38,0,0,0,1440,254,37.8954
08/07/2018 04:43:00,39,0,0,0,1440,254,38.945
08/07/2018 04:44:00,40,0,0,0,1440,254,39.9475
08/07/2018 04:45:00,41,0,0,0,1440,254,40.9476
08/07/2018 04:46:00,43,0,0,0,1440,254,42.8978
08/07/2018 04:47:00,43,0,0,0,1440,254,42.9949
08/07/2018 04:48:00,46,0,0,0,1440,254,45.8504
08/07/2018 04:49:00,47,0,0,0,1440,254,46.9428
08/07/2018 04:50:00,50,0,0,0,1440,254,49.8478
08/07/2018 04:51:00,51,0,0,0,1440,254,50.9426
08/07/2018 04:52:00,54,0,0,0,1440,254,53.8478
08/07/2018 04:53:00,56,0,0,0,1440,254,55.8928
08/07/2018 04:54:00,57,0,0,0,1440,254,56.9449
08/07/2018 04:55:00,58,0,0,0,1440,254,57.9475
08/07/2018 04:56:00,62,0,0,0,1440,254,61.7982
08/07/2018 04:57:00,61,0,0,0,1440,254,61.6535
08/07/2018 04:58:00,65,0,0,0,1440,254,64.8334
08/07/2018 04:59:00,67,0,0,0,1440,254,66.8921
08/07/2018 05:00:00,69,0,0,0,1440,254,68.8951
08/07/2018 05:01:00,71,0,0,0,1440,254,70.8952
08/07/2018 05:02:00,73,0,0,0,1440,254,72.8952
08/07/2018 05:03:00,75,0,0,0,1440,254,74.8952
08/07/2018 05:04:00,77,0,0,0,1440,254,76.8952
08/07/2018 05:05:00,79,0,0,0,1440,254,78.8952
08/07/2018 05:06:00,82,0,0,0,1440,254,81.8454
08/07/2018 05:07:00,82,0,0,0,1440,254,81.9923
08/07/2018 05:08:00,85,0,0,0,1440,254,84.8503
08/07/2018 05:09:00,86,0,0,0,1440,254,85.9428
08/07/2018 05:10:00,89,0,0,0,1440,254,88.8478
08/07/2018 05:11:00,92,0,0,0,1440,254,91.8431
08/07/2018 05:12:00,94,0,0,0,1440,254,93.8926
08/07/2018 05:13:00,94,0,0,0,1440,254,93.9947
08/07/2018 05:14:00,94,0,0,0,1440,254,93.9997
08/07/2018 05:15:00,100,0,0,0,1440,254,99.7013
08/07/2018 05:16:00,101,0,0,0,1440,254,100.935
08/07/2018 05:17:00,103,0,0,0,1440,254,102.897
08/07/2018 05:18:00,107,0,0,0,1440,254,106.796
08/07/2018 05:19:00,108,0,0,0,1440,254,107.94
08/07/2018 05:20:00,112,0,0,0,1440,254,111.798
08/07/2018 05:21:00,112,0,0,0,1440,254,111.99
08/07/2018 05:22:00,116,0,0,0,1440,254,115.8
08/07/2018 05:23:00,119,0,0,0,1440,254,118.841
08/07/2018 05:24:00,122,0,0,0,1440,254,121.843
08/07/2018 05:25:00,124,0,0,0,1440,254,123.893
08/07/2018 05:26:00,126,0,0,0,1440,254,125.895
08/07/2018 05:27:00,127,0,0,0,1440,254,126.945
08/07/2018 05:28:00,127,0,0,0,1440,254,126.997
08/07/2018 05:29:00,131,0,0,0,1440,254,130.801
08/07/2018 05:30:00,128,0,0,0,1440,254,130.293
08/07/2018 05:31:00,138,0,0,0,1440,254,137.616
08/07/2018 05:32:00,140,0,0,0,1440,254,139.881
08/07/2018 05:33:00,144,0,0,0,1440,254,143.795
08/07/2018 05:34:00,147,0,0,0,1440,254,146.84
08/07/2018 05:35:00,147,0,0,0,1440,254,146.992
08/07/2018 05:36:00,161,0,0,0,1440,254,160.303
08/07/2018 05:37:00,165,0,0,0,1440,254,164.766
08/07/2018 05:38:00,165,0,0,0,1440,254,164.988
08/07/2018 05:39:00,172,0,0,0,1440,254,171.651
08/07/2018 05:40:00,186,0,0,0,1440,254,185.286
08/07/2018 05:41:00,187,0,0,0,1440,254,186.915
08/07/2018 05:42:00,187,0,0,0,1440,254,186.996
08/07/2018 05:43:00,180,0,0,0,1440,254,185.728
08/07/2018 05:44:00,175,0,0,0,1440,254,183.783
08/07/2018 05:45:00,168,0,0,0,1440,254,180.922
08/07/2018 05:46:00,164,0,0,0,1440,254,177.855
08/07/2018 05:47:00,162,0,0,0,1440,254,174.981
08/07/2018 05:48:00,160,0,0,0,1440,254,172.265
08/07/2018 05:49:00,160,0,0,0,1440,254,170.042
08/07/2018 05:50:00,162,0,0,0,1440,254,168.584
08/07/2018 05:51:00,163,0,0,0,1440,254,167.572
08/07/2018 05:52:00,161,0,0,0,1440,254,166.381
08/07/2018 05:53:00,163,0,0,0,1440,254,165.768
08/07/2018 05:54:00,163,0,0,0,1440,254,165.266
08/07/2018 05:55:00,163,0,0,0,1440,254,164.855
08/07/2018 05:56:00,163,0,0,0,1440,254,164.519
08/07/2018 05:57:00,164,0,0,0,1440,254,164.425
08/07/2018 05:58:00,165,0,0,0,1440,254,164.971
08/07/2018 05:59:00,166,0,0,0,1440,254,165.949
08/07/2018 06:00:00,167,0,0,0,1440,254,166.948
08/07/2018 06:01:00,166,0,0,0,1440,254,166.776
08/07/2018 06:02:00,168,0,0,0,1440,254,167.939
08/07/2018 06:03:00,168,0,0,0,1440,254,167.997
08/07/2018 06:04:00,180,0,0,0,1440,254,179.402
08/07/2018 06:05:00,412,0,0,0,1440,254,400.42
08/07/2018 06:06:00,530,0,0,0,1440,254,523.549
